Date,CPI
1994-01-01,37.8
1994-02-01,23.09
1994-03-01,24.9
1994-04-01,22.5
1994-05-01,43.3
1994-06-01,17.01
1994-07-01,11.5
1994-08-01,5.9
1994-09-01,16.6
1994-10-01,33.5
1994-11-01,52.1
1994-12-01,55.18
1995-01-01,27.8
1995-02-01,12.51
1995-03-01,2.49
1995-04-01,5.63
1995-05-01,4.14
1995-06-01,-0.64
1995-07-01,-0.26
1995-08-01,0.19
1995-09-01,5.39
1995-10-01,1.42
1995-11-01,2.48
1995-12-01,4.7
1996-01-01,2.08
1996-02-01,3.11
1996-03-01,-0.57
1996-04-01,0.55
1996-05-01,-1.03
1996-06-01,-2.5
1996-07-01,-0.13
1996-08-01,1.98
1996-09-01,0.79
1996-10-01,-0.1
1996-11-01,0.82
1996-12-01,1.69
1997-01-01,1.74
1997-02-01,0.64
1997-03-01,0.1
1997-04-01,2.03
1997-05-01,-2.05
1997-06-01,-1.22
1997-07-01,-2.24
1997-08-01,-0.82
1997-09-01,0.89
1997-10-01,1.38
1997-11-01,0.23
1997-12-01,-0.2
1998-01-01,0.69
1998-02-01,0.49
1998-03-01,1.18
1998-04-01,0.36
1998-05-01,-1.17
1998-06-01,-0.96
1998-07-01,-1.1
1998-08-01,0.42
1998-09-01,0.34
1998-10-01,-1.41
1998-11-01,-0.58
1998-12-01,-5.93
1999-01-01,-0.49
1999-02-01,-0.36
1999-03-01,0.0
1999-04-01,0.17
1999-05-01,-0.17
1999-06-01,-0.81
1999-07-01,-0.82
1999-08-01,0.04
1999-09-01,1.08
1999-10-01,0.28
1999-11-01,0.21
1999-12-01,0.4
2000-01-01,0.73
2000-02-01,1.03
2000-03-01,0.06
2000-04-01,0.02
2000-05-01,-0.48
2000-06-01,-0.83
2000-07-01,-0.53
2000-08-01,-0.19
2000-09-01,0.74
2000-10-01,0.58
2000-11-01,0.44
2000-12-01,0.65
2001-01-01,0.33
2001-02-01,0.58
2001-03-01,0.28
2001-04-01,0.19
2001-05-01,-0.53
2001-06-01,-0.38
2001-07-01,-0.83
2001-08-01,-0.53
2001-09-01,0.48
2001-10-01,0.57
2001-11-01,0.32
2001-12-01,0.88
2002-01-01,0.64
2002-02-01,0.44
2002-03-01,0.4
2002-04-01,0.95
2002-05-01,0.49
2002-06-01,-1.02
2002-07-01,-0.42
2002-08-01,-0.55
2002-09-01,0.45
2002-10-01,0.61
2002-11-01,0.73
2002-12-01,0.6
2003-01-01,0.31
2003-02-01,0.14
2003-03-01,0.05
2003-04-01,0.11
2003-05-01,0.39
2003-06-01,-0.51
2003-07-01,-0.95
2003-08-01,-0.27
2003-09-01,1.07
2003-10-01,0.96
2003-11-01,0.73
2003-12-01,1.52
2004-01-01,2.0
