Date,CPI
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,42.93
1996-02-01,46.96
1996-03-01,55.88
1996-04-01,59.31
1996-05-01,52.15
1996-06-01,55.15
1996-07-01,51.83
1996-08-01,47.04
1996-09-01,42.03
1996-10-01,15.55
1996-11-01,16.67
1996-12-01,13.81
1997-01-01,11.77
1997-02-01,10.09
1997-03-01,7.79
1997-04-01,6.87
1997-05-01,7.53
1997-06-01,4.68
1997-07-01,5.05
1997-08-01,5.12
1997-09-01,5.74
1997-10-01,6.17
1997-11-01,7.49
1997-12-01,7.26
1998-01-01,6.73
1998-02-01,5.69
1998-03-01,5.0
1998-04-01,5.67
1998-05-01,2.86
1998-06-01,2.84
1998-07-01,1.29
1998-08-01,1.46
1998-09-01,0.46
1998-10-01,0.62
1998-11-01,-0.64
1998-12-01,10.66
1999-01-01,13.21
1999-02-01,17.65
1999-03-01,19.81
1999-04-01,20.2
1999-05-01,20.24
1999-06-01,20.84
1999-07-01,21.18
1999-08-01,20.86
1999-09-01,21.89
1999-10-01,21.34
1999-11-01,22.92
1999-12-01,10.89
2000-01-01,8.53
2000-02-01,3.09
2000-03-01,1.07
2000-04-01,-0.44
2000-05-01,1.11
2000-06-01,2.3
2000-07-01,4.26
2000-08-01,5.56
2000-09-01,6.42
2000-10-01,7.15
2000-11-01,5.28
2000-12-01,4.64
2001-01-01,4.93
2001-02-01,5.79
2001-03-01,5.94
2001-04-01,7.23
2001-05-01,6.26
2001-06-01,6.17
2001-07-01,5.7
2001-08-01,4.68
2001-09-01,2.25
2001-10-01,1.71
2001-11-01,2.52
2001-12-01,3.4
2002-01-01,4.73
2002-02-01,5.34
2002-03-01,5.72
2002-04-01,6.55
2002-05-01,7.65
2002-06-01,5.52
2002-07-01,5.1
2002-08-01,4.69
2002-09-01,5.68
2002-10-01,5.43
2002-11-01,5.1
2002-12-01,5.42
2003-01-01,5.51
2003-02-01,3.75
2003-03-01,3.41
2003-04-01,2.11
2003-05-01,2.31
2003-06-01,4.81
2003-07-01,5.03
2003-08-01,5.05
2003-09-01,5.2
2003-10-01,4.74
2003-11-01,8.62
2003-12-01,6.95
2004-01-01,5.2
2004-02-01,6.21
2004-03-01,6.27
2004-04-01,5.56
2004-05-01,5.37
2004-06-01,3.64
2004-07-01,5.45
2004-08-01,4.99
2004-09-01,6.01
2004-10-01,7.72
2004-11-01,3.98
2004-12-01,7.48
2005-01-01,9.28
2005-02-01,9.15
2005-03-01,9.68
2005-04-01,10.34
2005-05-01,8.87
2005-06-01,9.03
2005-07-01,6.01
2005-08-01,7.2
2005-09-01,7.67
2005-10-01,7.75
2005-11-01,7.94
2005-12-01,6.18
2006-01-01,5.25
2006-02-01,5.1
2006-03-01,4.58
2006-04-01,6.01
2006-05-01,10.0
2006-06-01,11.42
2006-07-01,14.52
2006-08-01,13.41
2006-09-01,11.24
2006-10-01,10.23
2006-11-01,9.84
2006-12-01,8.78
2007-01-01,10.44
2007-02-01,11.04
2007-03-01,9.75
2007-04-01,8.12
2007-05-01,7.28
2007-06-01,7.26
2007-07-01,6.57
2007-08-01,7.7
2007-09-01,8.97
2007-10-01,11.22
2007-11-01,11.64
2007-12-01,10.97
2008-01-01,10.71
2008-02-01,10.92
2008-03-01,12.25
2008-04-01,12.22
2008-05-01,11.24
2008-06-01,11.34
2008-07-01,9.8
2008-08-01,12.8
2008-09-01,10.61
2008-10-01,7.02
2008-11-01,6.27
2008-12-01,5.55
2009-01-01,4.44
2009-02-01,2.09
2009-03-01,1.57
2009-04-01,1.79
2009-05-01,2.24
2009-06-01,2.35
2009-07-01,0.14
2009-08-01,-3.11
2009-09-01,0.44
2009-10-01,3.2
2009-11-01,2.7
2009-12-01,2.99
2010-01-01,2.69
2010-02-01,5.63
2010-03-01,5.82
2010-04-01,5.61
2010-05-01,4.01
2010-06-01,3.69
2010-07-01,7.05
2010-08-01,9.51
2010-09-01,9.79
2010-10-01,9.58
2010-11-01,10.54
2010-12-01,11.24
2011-01-01,12.26
2011-02-01,13.75
2011-03-01,13.94
2011-04-01,13.5
2011-05-01,14.33
2011-06-01,10.03
2011-07-01,8.5
2011-08-01,7.15
2011-09-01,4.56
2011-10-01,2.32
2011-11-01,1.92
2011-12-01,2.04
2012-01-01,0.48
2012-02-01,-2.05
2012-03-01,-2.21
2012-04-01,-2.1
2012-05-01,-3.3
2012-06-01,-0.18
2012-07-01,0.56
2012-08-01,-0.36
2012-09-01,-0.1
2012-10-01,0.1
2012-11-01,-0.5
2012-12-01,-1.4
2013-01-01,-1.6
2013-02-01,-2.12
2013-03-01,-2.07
2013-04-01,-1.68
2013-05-01,-0.11
2013-06-01,0.24
2013-07-01,-0.21
2013-08-01,-0.35
2013-09-01,-1.29
2013-10-01,0.17
2013-11-01,0.61
2013-12-01,2.37
2014-01-01,2.92
2014-02-01,3.46
2014-03-01,3.5
2014-04-01,3.4
2014-05-01,2.4
2014-06-01,2.0
2014-07-01,2.85
2014-08-01,3.4
2014-09-01,4.8
2014-10-01,3.4
2014-11-01,2.8
2014-12-01,2.0
2015-01-01,1.4
2015-02-01,1.3
2015-03-01,2.6
2015-04-01,2.5
2015-05-01,3.5
2015-06-01,4.5
2015-07-01,4.9
2015-08-01,5.4
2015-09-01,5.2
2015-10-01,5.8
2015-11-01,6.3
2015-12-01,4.9
2016-01-01,5.6
2016-02-01,5.6
2016-03-01,4.1
2016-04-01,3.2
2016-05-01,2.1
2016-06-01,1.1
2016-07-01,1.5
2016-08-01,0.9
2016-09-01,0.1
2016-10-01,-0.2
2016-11-01,0.2
2016-12-01,1.8
2017-01-01,3.9
2017-02-01,5.5
2017-03-01,5.4
2017-04-01,6.1
2017-05-01,6.6
2017-06-01,7.1
2017-07-01,6.0
2017-08-01,5.7
2017-09-01,6.2
2017-10-01,6.4
