Date,CPI
1994-01-01,82.5
1994-02-01,18.5
1994-03-01,44.5
1994-04-01,57.1
1994-05-01,56.5
1994-06-01,9.1
1994-07-01,-1.8
1994-08-01,3.7
1994-09-01,6.3
1994-10-01,11.3
1994-11-01,14.7
1994-12-01,60.8
1995-01-01,3.9
1995-02-01,0.7
1995-03-01,1.2
1995-04-01,7.1
1995-05-01,7.8
1995-06-01,0.6
1995-07-01,-4.6
1995-08-01,-2.1
1995-09-01,-0.1
1995-10-01,4.1
1995-11-01,2.7
1995-12-01,7.6
1996-01-01,3.61
1996-02-01,3.378
1996-03-01,0.159
1996-04-01,-0.364
1996-05-01,0.047
1996-06-01,-1.272
1996-07-01,-3.296
1996-08-01,0.284
1996-09-01,-1.055
1996-10-01,-0.178
1996-11-01,2.393
1996-12-01,2.033
1997-01-01,3.13
1997-02-01,1.583
1997-03-01,0.782
1997-04-01,1.609
1997-05-01,3.329
1997-06-01,3.89
1997-07-01,-0.353
1997-08-01,-1.027
1997-09-01,3.444
1997-10-01,0.071
1997-11-01,1.686
1997-12-01,1.941
1998-01-01,4.061
1998-02-01,3.548
1998-03-01,0.255
1998-04-01,-1.828
1998-05-01,-1.865
1998-06-01,-3.071
1998-07-01,-4.335
1998-08-01,-2.148
1998-09-01,-0.132
1998-10-01,0.014
1998-11-01,1.781
1998-12-01,2.804
1999-01-01,3.984
1999-02-01,0.025
1999-03-01,-0.579
1999-04-01,0.38
1999-05-01,0.509
1999-06-01,-0.03
1999-07-01,-3.231
1999-08-01,-0.936
1999-09-01,0.334
1999-10-01,0.494
1999-11-01,0.21
1999-12-01,1.012
2000-01-01,1.882
2000-02-01,0.121
2000-03-01,-0.394
2000-04-01,-0.813
2000-05-01,-0.316
2000-06-01,-0.294
2000-07-01,-1.97
2000-08-01,-1.286
2000-09-01,0.258
2000-10-01,-0.014
2000-11-01,0.883
2000-12-01,2.41
2001-01-01,4.624
2001-02-01,-0.937
2001-03-01,0.016
2001-04-01,-0.091
2001-05-01,1.615
2001-06-01,-1.334
2001-07-01,-2.706
2001-08-01,-0.688
2001-09-01,-1.174
2001-10-01,0.086
2001-11-01,1.207
2001-12-01,2.42
2002-01-01,2.219
2002-02-01,-0.725
2002-03-01,-0.617
2002-04-01,2.53
2002-05-01,1.695
2002-06-01,-0.517
2002-07-01,-4.953
2002-08-01,-3.032
2002-09-01,-0.636
2002-10-01,0.51
2002-11-01,2.229
2002-12-01,3.582
2003-01-01,4.132
2003-02-01,-1.54
2003-03-01,-0.451
2003-04-01,2.047
2003-05-01,1.178
2003-06-01,1.379
2003-07-01,-5.502
2003-08-01,-2.308
2003-09-01,2.516
2003-10-01,-0.092
2003-11-01,2.23
2003-12-01,5.163
2004-01-01,2.516
2004-02-01,-0.575
2004-03-01,0.281
2004-04-01,1.246
2004-05-01,1.135
2004-06-01,-0.149
2004-07-01,-2.501
2004-08-01,-2.374
2004-09-01,-0.738
2004-10-01,0.119
2004-11-01,0.831
2004-12-01,2.333
2005-01-01,5.415
2005-02-01,-0.665
2005-03-01,-0.942
2005-04-01,-0.9
2005-05-01,0.099
2005-06-01,-1.417
2005-07-01,-4.506
2005-08-01,-1.381
2005-09-01,0.933
2005-10-01,0.091
2005-11-01,1.088
2005-12-01,2.304
2006-01-01,2.48
2006-02-01,0.249
2006-03-01,0.091
2006-04-01,0.284
2006-05-01,2.403
2006-06-01,-1.194
2006-07-01,-0.681
2006-08-01,-0.943
2006-09-01,-0.348
2006-10-01,0.179
2006-11-01,1.012
2006-12-01,1.624
2007-01-01,2.405
2007-02-01,0.211
2007-03-01,-0.634
2007-04-01,0.125
2007-05-01,2.102
2007-06-01,-0.307
2007-07-01,-3.155
2007-08-01,-1.461
2007-09-01,0.675
2007-10-01,3.129
2007-11-01,2.068
2007-12-01,1.456
2008-01-01,2.354
2008-02-01,1.056
2008-03-01,1.345
2008-04-01,1.13
2008-05-01,1.298
2008-06-01,-0.514
2008-07-01,-2.219
2008-08-01,-0.74
2008-09-01,0.502
2008-10-01,0.671
2008-11-01,0.125
2008-12-01,0.135
2009-01-01,1.178
2009-02-01,-1.818
2009-03-01,1.351
2009-04-01,3.178
2009-05-01,1.589
2009-06-01,-0.323
2009-07-01,-2.675
2009-08-01,-0.376
2009-09-01,0.688
2009-10-01,0.537
2009-11-01,1.178
2009-12-01,1.954
2010-01-01,1.687
2010-02-01,0.312
2010-03-01,0.843
2010-04-01,1.318
2010-05-01,1.035
2010-06-01,-0.761
2010-07-01,-0.798
2010-08-01,1.282
2010-09-01,-0.234
2010-10-01,0.98
2010-11-01,1.608
2010-12-01,1.817
2011-01-01,3.419
2011-02-01,0.879
2011-03-01,0.821
2011-04-01,-0.222
2011-05-01,0.035
2011-06-01,-1.408
2011-07-01,-3.035
2011-08-01,-0.561
2011-09-01,0.788
2011-10-01,0.336
2011-11-01,1.175
2011-12-01,2.508
2012-01-01,3.563
2012-02-01,-0.897
2012-03-01,0.099
2012-04-01,-0.579
2012-05-01,-1.282
2012-06-01,-1.25
2012-07-01,-1.458
2012-08-01,-0.404
2012-09-01,0.796
2012-10-01,1.248
2012-11-01,1.365
2012-12-01,2.104
2013-01-01,2.893
2013-02-01,-0.4
2013-03-01,0.42
2013-04-01,-0.097
2013-05-01,-0.032
2013-06-01,-0.061
2013-07-01,0.447
2013-08-01,0.273
2013-09-01,-0.219
2013-10-01,0.277
2013-11-01,0.902
2013-12-01,1.057
2014-01-01,2.828
2014-02-01,-1.218
2014-03-01,-0.386
2014-04-01,0.525
2014-05-01,-0.786
2014-06-01,-1.841
2014-07-01,-0.937
2014-08-01,0.722
2014-09-01,0.403
2014-10-01,0.956
2014-11-01,1.322
2014-12-01,3.025
2015-01-01,2.462
2015-02-01,-0.054
