Date,CPI
1994-01-01,3.48
1994-02-01,5.13
1994-03-01,8.94
1994-04-01,3.7
1994-05-01,1.09
1994-06-01,0.72
1994-07-01,2.84
1994-08-01,1.04
1994-09-01,3.25
1994-10-01,0.99
1994-11-01,1.64
1994-12-01,1.45
1995-01-01,3.5
1995-02-01,2.92
1995-03-01,2.39
1995-04-01,1.02
1995-05-01,2.6
1995-06-01,2.25
1995-07-01,1.79
1995-08-01,0.68
1995-09-01,2.01
1995-10-01,3.16
1995-11-01,1.28
1995-12-01,2.14
1996-01-01,3.45
1996-02-01,3.34
1996-03-01,1.6
1996-04-01,1.82
1996-05-01,0.56
1996-06-01,0.67
1996-07-01,0.44
1996-08-01,-0.44
1996-09-01,0.66
1996-10-01,0.66
1996-11-01,0.54
1996-12-01,0.76
1997-01-01,1.4
1997-02-01,0.95
1997-03-01,0.73
1997-04-01,1.88
1997-05-01,2.05
1997-06-01,0.7
1997-07-01,0.4
1997-08-01,0.59
1997-09-01,0.59
1997-10-01,0.98
1997-11-01,0.78
1997-12-01,0.77
1998-01-01,0.84
1998-02-01,0.96
1998-03-01,0.79
1998-04-01,0.44
1998-05-01,0.35
1998-06-01,0.18
1998-07-01,0.57
1998-08-01,-0.14
1998-09-01,-0.06
1998-10-01,0.17
1998-11-01,-0.02
1998-12-01,0.11
1999-01-01,1.16
1999-02-01,0.27
1999-03-01,0.46
1999-04-01,0.25
1999-05-01,0.33
1999-06-01,-0.02
1999-07-01,0.04
1999-08-01,-0.17
1999-09-01,0.18
1999-10-01,0.19
1999-11-01,0.32
1999-12-01,0.8
2000-01-01,0.53
2000-02-01,0.04
2000-03-01,0.69
2000-04-01,0.1
2000-05-01,0.17
2000-06-01,0.28
2000-07-01,0.92
2000-08-01,0.14
2000-09-01,0.42
2000-10-01,0.91
2000-11-01,0.59
2000-12-01,0.16
2001-01-01,1.25
2001-02-01,0.31
2001-03-01,0.41
2001-04-01,0.66
2001-05-01,0.69
2001-06-01,0.24
2001-07-01,0.35
2001-08-01,-0.05
2001-09-01,0.07
2001-10-01,0.04
2001-11-01,-0.05
2001-12-01,0.21
2002-01-01,1.26
2002-02-01,0.53
2002-03-01,0.28
2002-04-01,0.91
2002-05-01,0.27
2002-06-01,-0.09
2002-07-01,-0.32
2002-08-01,-0.49
2002-09-01,0.11
2002-10-01,0.53
2002-11-01,-0.16
2002-12-01,-0.17
2003-01-01,1.15
2003-02-01,0.33
2003-03-01,0.29
2003-04-01,-0.2
2003-05-01,-0.33
2003-06-01,-0.41
2003-07-01,0.16
2003-08-01,-0.04
2003-09-01,0.23
2003-10-01,0.16
2003-11-01,-0.15
2003-12-01,-0.12
2004-01-01,0.56
2004-02-01,0.31
2004-03-01,0.21
2004-04-01,0.72
2004-05-01,2.07
2004-06-01,0.34
2004-07-01,-0.28
2004-08-01,-0.08
2004-09-01,0.13
2004-10-01,0.34
2004-11-01,0.41
2004-12-01,0.17
2005-01-01,-0.18
2005-02-01,0.59
2005-03-01,0.67
2005-04-01,0.42
2005-05-01,0.19
2005-06-01,0.71
2005-07-01,0.37
2005-08-01,0.29
2005-09-01,0.82
2005-10-01,-0.04
2005-11-01,-0.15
2005-12-01,-0.17
2006-01-01,0.88
2006-02-01,0.5
2006-03-01,0.1
2006-04-01,0.75
2006-05-01,0.54
2006-06-01,0.37
2006-07-01,0.55
2006-08-01,0.76
2006-09-01,-0.37
2006-10-01,-0.12
2006-11-01,0.79
2006-12-01,0.3
2007-01-01,0.86
2007-02-01,0.12
2007-03-01,1.04
2007-04-01,0.57
2007-05-01,0.7
2007-06-01,0.49
2007-07-01,1.07
2007-08-01,0.12
2007-09-01,1.05
2007-10-01,1.05
2007-11-01,1.37
2007-12-01,0.74
2008-01-01,2.18
2008-02-01,0.35
2008-03-01,0.75
2008-04-01,1.0
2008-05-01,0.59
2008-06-01,0.63
2008-07-01,0.72
2008-08-01,0.11
2008-09-01,0.56
2008-10-01,0.43
2008-11-01,-0.3
2008-12-01,-0.23
2009-01-01,-0.61
2009-02-01,-0.33
2009-03-01,-0.54
2009-04-01,-0.72
2009-05-01,0.02
2009-06-01,-0.04
2009-07-01,0.91
2009-08-01,-0.02
2009-09-01,-0.2
2009-10-01,-0.13
2009-11-01,-0.21
2009-12-01,0.15
2010-01-01,0.42
2010-02-01,21.0
2010-03-01,1.26
2010-04-01,0.49
2010-05-01,0.17
2010-06-01,0.44
2010-07-01,0.27
2010-08-01,0.01
2010-09-01,0.82
2010-10-01,0.59
2010-11-01,0.34
2010-12-01,0.55
2011-01-01,-0.02
2011-02-01,0.65
2011-03-01,0.76
2011-04-01,0.67
2011-05-01,0.15
2011-06-01,0.01
2011-07-01,0.52
2011-08-01,0.29
2011-09-01,0.54
2011-10-01,-0.12
2011-11-01,0.11
2011-12-01,0.12
2012-01-01,0.71
2012-02-01,0.38
2012-03-01,0.96
2012-04-01,0.31
2012-05-01,-0.06
2012-06-01,0.07
2012-07-01,0.25
2012-08-01,0.49
2012-09-01,0.5
2012-10-01,0.19
2012-11-01,-0.33
2012-12-01,-0.06
2013-01-01,0.71
2013-02-01,0.62
2013-03-01,0.73
2013-04-01,-0.08
2013-05-01,0.2
2013-06-01,0.5
2013-07-01,-0.09
2013-08-01,-0.02
2013-09-01,-0.33
2013-10-01,-0.3
2013-11-01,-0.4
2013-12-01,-0.1
2014-01-01,0.4
2014-02-01,0.1
2014-03-01,0.3
2014-04-01,0.0
2014-05-01,0.1
2014-06-01,0.0
2014-07-01,-0.2
2014-08-01,-0.3
2014-09-01,-0.2
2014-10-01,0.0
2014-11-01,-0.8
2014-12-01,0.0
2015-01-01,-0.4
2015-02-01,-0.6
2015-03-01,0.6
2015-04-01,0.5
2015-05-01,0.2
2015-06-01,-0.2
2015-07-01,-0.4
2015-08-01,-0.3
2015-09-01,-0.6
2015-10-01,0.1
2015-11-01,-0.3
2015-12-01,-0.7
2016-01-01,-0.1
2016-02-01,0.7
2016-03-01,0.8
2016-04-01,0.0
2016-05-01,0.1
2016-06-01,0.3
